Type,Branch,Amount,Old Balance Origin,New Balance Origin,Old Balance Destination,New Balance Destination,Receiver,Unusual Logins,Account Age,Account Type,Time of Day,isFraud
TRANSFER,Australia,114580.22,1099688.0,985107.78,2095066.14,2209646.36,Customer,17,2.12482211,Current,Night,0
CASH_IN,Alemania,202471.26,3409010.17,3611481.43,0.0,0.0,Self,3,6.774652742,Savings,Morning,0
CASH_OUT,China,97771.23,1419825.0,1322053.77,0.0,0.0,Self,3,6.183025956,Savings,Night,0
PAYMENT,Pakistan,7135.37,42310.81,35175.44,1583242.0,1590377.37,Merchant,12,4.534564661,Savings,Afternoon,0
PAYMENT,India,4476.2,10402.0,5925.8,308760.0,313236.2,Merchant,5,5.237150733,Savings,Morning,0
PAYMENT,Nueva Zelanda,7155.31,59570.46,52415.15,1605595.0,1612750.31,Merchant,4,3.976333768,Current,Afternoon,0
PAYMENT,Brasil,2077.39,10927.0,8859.61,0.0,0.0,Merchant,7,4.415872272,Savings,Morning,1
CASH_OUT,India,199710.23,1781539.0,1581828.77,0.0,0.0,Self,14,0.481054144,Current,Morning,0
CASH_IN,Argentina,228724.76,5657788.84,5886513.6,0.0,0.0,Self,15,1.638375994,Current,Afternoon,0
CREDIT,Estados Unidos,5581.55,13268.0,18849.55,55058.57,49477.02,Customer,16,3.154172861,Current,Afternoon,0
CASH_IN,China,137360.58,4380893.6,4518254.18,0.0,0.0,Self,18,0.638014534,Savings,Morning,0
PAYMENT,Estados Unidos,8935.7,80905.0,71969.3,1119348.0,1128283.7,Merchant,12,1.300120736,Savings,Afternoon,0
CASH_IN,Honduras,71758.1,5595736.44,5667494.54,0.0,0.0,Self,12,7.932071193,Savings,Morning,0
CASH_IN,Reino Unido,138927.96,2532529.32,2671457.28,0.0,0.0,Self,16,4.89888289,Savings,Night,0
TRANSFER,India,221297.05,840694.0,619396.95,595455.57,816752.62,Customer,12,3.04180634,Savings,Night,0
PAYMENT,Francia,10536.99,0.0,0.0,0.0,0.0,Merchant,17,5.674499281,Savings,Night,1
PAYMENT,India,947.58,3025.0,2077.42,1459420.0,1460367.58,Merchant,20,2.404185952,Savings,Afternoon,0
CREDIT,Nueva Zelanda,3106.9,8812.0,11918.9,461082.25,457975.35,Customer,1,7.113091345,Current,Night,0
PAYMENT,Panama,1309.47,2805.0,1495.53,465952.0,467261.47,Merchant,18,0.789762082,Savings,Afternoon,0
PAYMENT,Alemania,3798.36,15537.0,11738.64,1716683.0,1720481.36,Merchant,7,6.313400294,Current,Afternoon,0
PAYMENT,Brasil,4149.86,4469.0,319.14,654920.0,659069.86,Merchant,3,2.620566122,Savings,Morning,0
CASH_IN,Nicaragua,51284.87,4133681.78,4184966.65,0.0,0.0,Self,7,1.581364488,Savings,Afternoon,0
CASH_IN,Reino Unido,106727.81,4927051.9,5033779.71,0.0,0.0,Self,4,1.665906458,Savings,Afternoon,0
CASH_IN,Francia,193161.04,6372625.28,6565786.32,0.0,0.0,Self,6,1.919451622,Current,Night,0
CASH_IN,Colombia,87371.77,4132314.38,4219686.15,0.0,0.0,Self,6,1.420736998,Savings,Afternoon,0
CASH_IN,India,110226.34,1601450.63,1711676.97,0.0,0.0,Self,6,3.814069436,Savings,Afternoon,0
CASH_OUT,Alemania,45447.15,73473.99,28026.84,0.0,0.0,Self,19,5.458218163,Savings,Night,0
CASH_IN,Italia,88141.39,2981199.14,3069340.53,0.0,0.0,Self,7,7.637495724,Current,Morning,0
PAYMENT,Italia,2869.11,116740.0,113870.89,938526.0,941395.11,Merchant,17,5.404133437,Current,Morning,0
CREDIT,Afganistan,996.0,46132.0,47128.0,88106.55,87110.55,Customer,5,8.445446352,Savings,Afternoon,0
CASH_OUT,Brasil,440226.25,1652729.0,1212502.75,0.0,0.0,Self,16,4.749551948,Savings,Afternoon,0
PAYMENT,Suecia,23224.89,30779.0,7554.11,1849521.0,1872745.89,Merchant,4,3.939312961,Savings,Morning,0
PAYMENT,Mexico,2015.07,142893.0,140877.93,1553059.0,1555074.07,Merchant,17,4.589291981,Savings,Afternoon,0
PAYMENT,Francia,6539.91,1148695.0,1142155.09,565152.0,571691.91,Merchant,5,1.501879843,Savings,Night,0
PAYMENT,Mexico,5478.51,12400.0,6921.49,1675754.0,1681232.51,Merchant,8,1.262693217,Current,Night,0
PAYMENT,Italia,15033.16,23181.0,8147.84,1145599.0,1160632.16,Merchant,20,8.490977266,Savings,Afternoon,0
PAYMENT,Alemania,3222.32,104595.0,101372.68,1306044.0,1309266.32,Merchant,6,7.628277846,Savings,Morning,0
PAYMENT,Republica Dominicana,11493.01,1240196.0,1228702.99,1928453.0,1939946.01,Merchant,14,7.854374892,Savings,Morning,0
PAYMENT,Filipinas,6350.75,20071.0,13720.25,1626923.0,1633273.75,Merchant,4,3.348006229,Savings,Afternoon,0
PAYMENT,Georgia,392.99,29023.5,28630.51,1082141.0,1082533.99,Merchant,17,6.182739815,Savings,Afternoon,0
PAYMENT,Francia,31211.8,1388233.0,1357021.2,1972158.0,2003369.8,Merchant,16,2.47042383,Current,Night,0
CASH_OUT,Estados Unidos,120142.49,639409.79,519267.3,0.0,0.0,Self,17,8.222558638,Savings,Night,0
CASH_IN,Camboya,78772.04,356661.87,435433.91,0.0,0.0,Self,18,5.521085899,Savings,Night,0
CASH_OUT,Cuba,155717.05,176740.0,21022.95,0.0,0.0,Self,19,7.67566293,Savings,Morning,0
CASH_IN,Nueva Zelanda,332188.93,6896340.72,7228529.65,0.0,0.0,Self,16,3.026588105,Savings,Night,0
TRANSFER,Republica Dominicana,375736.37,1341940.0,966203.63,770951.48,1146687.85,Customer,10,6.984870879,Savings,Afternoon,0
PAYMENT,Australia,14287.64,17913.27,3625.63,1029236.0,1043523.64,Merchant,8,4.527727746,Savings,Afternoon,0
CASH_OUT,Reino Unido,46873.46,255542.0,208668.54,0.0,0.0,Self,5,5.38346054,Current,Night,0
PAYMENT,Canada,4293.83,103849.08,99555.25,1383589.0,1387882.83,Merchant,8,1.45004009,Savings,Afternoon,0
PAYMENT,Belgica,1800.78,2533.0,732.22,1949306.0,1951106.78,Merchant,13,0.801964561,Savings,Morning,0
PAYMENT,Egipto,8550.9,40060.0,31509.1,964211.0,972761.9,Merchant,12,7.444623659,Savings,Afternoon,0
CASH_IN,El Salvador,96300.34,4224204.79,4320505.13,0.0,0.0,Self,10,0.870359712,Current,Night,0
PAYMENT,China,14251.38,751906.0,737654.62,659245.0,673496.38,Merchant,16,8.243545179,Current,Morning,0
PAYMENT,Mexico,7496.64,16013.59,8516.95,443403.0,450899.64,Merchant,12,2.846415826,Current,Afternoon,0
CASH_IN,Estados Unidos,67379.32,2553032.52,2620411.84,0.0,0.0,Self,14,0.389757248,Savings,Afternoon,0
TRANSFER,El Salvador,194287.8,705428.0,511140.2,367440.25,561728.05,Customer,7,1.98325121,Current,Morning,0
PAYMENT,Iran,16906.09,19104.0,2197.91,1637267.0,1654173.09,Merchant,2,1.894170686,Current,Afternoon,0
CASH_OUT,Reino Unido,141427.48,1226219.0,1084791.52,0.0,0.0,Self,6,2.24794711,Current,Afternoon,0
CASH_IN,Reino Unido,158226.9,6624114.13,6782341.03,0.0,0.0,Self,13,6.65666281,Current,Night,0
CREDIT,Egipto,4479.63,154215.6,158695.23,7666.22,3186.59,Customer,4,7.802808027,Savings,Afternoon,0
CASH_OUT,Honduras,285832.76,767273.0,481440.24,0.0,0.0,Self,8,1.499602594,Current,Afternoon,0
PAYMENT,Alemania,4440.79,49624.0,45183.21,1815542.0,1819982.79,Merchant,19,4.30222529,Savings,Night,0
TRANSFER,Honduras,72875.23,73416.0,540.77,15498.25,88373.48,Customer,11,7.953179845,Current,Afternoon,0
TRANSFER,El Salvador,148688.71,1214019.0,1065330.29,0.0,148688.71,Customer,2,5.721513449,Savings,Morning,0
CASH_OUT,Estados Unidos,62068.94,1974760.0,1912691.06,0.0,0.0,Self,14,8.481809905,Savings,Morning,0
PAYMENT,Polonia,271.32,22253.75,21982.43,1400691.0,1400962.32,Merchant,14,8.545596997,Current,Morning,0
PAYMENT,Finlandia,6855.46,67316.5,60461.04,1442134.0,1448989.46,Merchant,19,2.818485682,Savings,Night,0
PAYMENT,Mexico,18995.99,11637.0,0.0,0.0,0.0,Merchant,11,1.523628478,Current,Afternoon,1
CASH_OUT,China,45756.23,1426755.0,1380998.77,0.0,0.0,Self,10,5.49313085,Savings,Morning,0
CASH_IN,Alemania,124646.3,3929593.74,4054240.04,0.0,0.0,Self,7,5.352971161,Current,Morning,0
CASH_OUT,Polonia,101226.51,25259.53,0.0,236893.95,469207.53,Self,12,1.942524562,Savings,Afternoon,1
PAYMENT,Nicaragua,7643.08,8997.0,1353.92,1285151.0,1292794.08,Merchant,14,8.257778362,Savings,Afternoon,0
PAYMENT,Australia,1538.49,21022.0,19483.51,1318191.0,1319729.49,Merchant,8,4.080147952,Current,Morning,0
PAYMENT,Indonesia,9437.39,19908.0,10470.61,778695.0,788132.39,Merchant,13,3.373889554,Current,Night,0
PAYMENT,Nicaragua,12061.98,22716.0,10654.02,1933577.0,1945638.98,Merchant,16,6.908407642,Savings,Night,0
PAYMENT,Australia,3774.03,186633.0,182858.97,470229.0,474003.03,Merchant,20,4.637725177,Savings,Afternoon,0
PAYMENT,Austria,7928.7,22134.23,14205.53,1461546.0,1469474.7,Merchant,15,1.362860023,Savings,Afternoon,0
CASH_IN,Reino Unido,395368.45,2449221.61,2844590.06,0.0,0.0,Self,10,1.721328658,Savings,Night,0
PAYMENT,Nicaragua,6934.8,12593.0,5658.2,359318.0,366252.8,Merchant,9,2.032444743,Savings,Afternoon,0
PAYMENT,Brasil,764.8,50823.0,50058.2,1244010.0,1244774.8,Merchant,3,3.03281551,Savings,Night,0
CASH_OUT,Paises Bajos,8760.71,740174.0,731413.29,0.0,0.0,Self,14,0.153992502,Savings,Night,0
PAYMENT,Francia,2998.04,12030.0,9031.96,1911652.0,1914650.04,Merchant,13,7.596187393,Savings,Night,0
CASH_IN,India,334234.39,5738894.62,6073129.01,0.0,0.0,Self,8,6.776030331,Savings,Morning,0
CREDIT,China,1160.21,22882.0,24042.21,3277.0,2116.79,Customer,1,3.614197388,Savings,Morning,0
PAYMENT,Australia,5376.67,146859.56,141482.89,262138.0,267514.67,Merchant,16,0.00228332,Savings,Night,0
PAYMENT,Honduras,2529.38,76816.0,74286.62,1510500.0,1513029.38,Merchant,4,6.018790901,Savings,Afternoon,0
PAYMENT,Francia,3215.11,30487.0,27271.89,1548727.0,1551942.11,Merchant,17,2.869907675,Savings,Night,0
CASH_IN,Australia,57955.32,3267331.74,3325287.06,0.0,0.0,Self,3,8.309387924,Savings,Afternoon,0
PAYMENT,Mexico,18491.91,206358.0,187866.09,201696.0,220187.91,Merchant,20,7.49532428,Savings,Afternoon,0
CASH_OUT,Alemania,274406.81,1517600.27,1243193.46,0.0,0.0,Self,14,6.469025901,Savings,Night,0
PAYMENT,Filipinas,17482.76,46343.0,28860.24,155847.0,173329.76,Merchant,13,8.039864506,Savings,Afternoon,0
TRANSFER,Reino Unido,490341.11,657690.0,167348.89,0.0,490341.11,Customer,19,3.36494167,Current,Afternoon,0
PAYMENT,Reino Unido,2891.7,16608.0,13716.3,672679.0,675570.7,Merchant,11,5.79160051,Savings,Afternoon,0
CASH_IN,Alemania,196034.13,261792.55,457826.68,0.0,0.0,Self,6,4.66988997,Savings,Morning,0
CASH_OUT,El Salvador,116118.94,716576.18,600457.24,0.0,0.0,Self,5,6.736232708,Current,Night,0
CREDIT,Alemania,5655.43,131875.0,137530.43,61293.45,55638.02,Customer,10,5.295544631,Current,Afternoon,0
PAYMENT,Francia,2453.34,35411.0,32957.66,394123.0,396576.34,Merchant,3,2.637500754,Savings,Night,0
CASH_OUT,China,144964.23,1953407.0,1808442.77,0.0,0.0,Self,20,6.31878667,Current,Morning,0
TRANSFER,Paises Bajos,16657.05,625789.0,609131.95,21262.59,37919.64,Customer,17,5.488775131,Current,Afternoon,0
PAYMENT,Marruecos,1088.75,11036.0,9947.25,1826598.0,1827686.75,Merchant,16,2.037969282,Savings,Afternoon,0
CASH_OUT,Tailandia,60850.8,1041358.0,980507.2,0.0,0.0,Self,18,8.036163296,Savings,Morning,0
PAYMENT,Brasil,10260.12,21594.0,11333.88,1872631.0,1882891.12,Merchant,19,3.987046216,Current,Night,0
PAYMENT,Panama,3064.28,31413.0,28348.72,1547978.0,1551042.28,Merchant,2,0.241131639,Savings,Night,0
PAYMENT,Australia,9478.39,116494.0,107015.61,1818330.0,1827808.39,Merchant,1,6.336007164,Current,Afternoon,0
PAYMENT,Alemania,7021.77,284654.9,277633.13,1896885.0,1903906.77,Merchant,8,2.920131193,Savings,Morning,0
PAYMENT,Estados Unidos,1698.43,206791.0,205092.57,238277.0,239975.43,Merchant,18,4.368483486,Current,Afternoon,0
TRANSFER,Alemania,548288.31,1160970.0,612681.69,13900000.0,14448288.31,Customer,1,7.949004655,Current,Afternoon,0
PAYMENT,Argentina,1966.24,14014.0,12047.76,1663406.0,1665372.24,Merchant,1,0.008444629,Savings,Night,0
PAYMENT,Singapur,3259.83,68360.07,65100.24,1739865.0,1743124.83,Merchant,20,0.829893529,Savings,Night,0
PAYMENT,Alemania,11496.9,11740.0,243.1,266617.0,278113.9,Merchant,17,3.55326665,Savings,Morning,0
PAYMENT,Turquia,4861.27,68522.0,63660.73,1656853.0,1661714.27,Merchant,16,1.049420209,Current,Morning,0
PAYMENT,Estados Unidos,8012.89,106992.0,98979.11,360476.0,368488.89,Merchant,12,4.293159478,Current,Night,0
PAYMENT,Mexico,10399.14,43978.0,33578.86,1699290.0,1709689.14,Merchant,17,5.551215058,Savings,Morning,0
CASH_IN,India,58538.76,4296899.87,4355438.63,0.0,0.0,Self,10,6.126343071,Savings,Morning,0
PAYMENT,Zimbabue,4605.97,41563.57,36957.6,1401165.0,1405770.97,Merchant,9,3.294379616,Savings,Night,0
PAYMENT,China,6559.64,46153.0,39593.36,1660579.0,1667138.64,Merchant,20,3.67345092,Current,Afternoon,0
CASH_IN,Estados Unidos,457363.51,1539848.82,1997212.33,0.0,0.0,Self,10,7.37527968,Savings,Night,0
PAYMENT,Nigeria,2380.21,6003259.91,6000879.7,923047.0,925427.21,Merchant,14,4.354161821,Current,Afternoon,0
CASH_OUT,China,247199.96,1140810.0,893610.04,0.0,0.0,Self,8,7.709898642,Current,Night,0
TRANSFER,Nigeria,1532087.16,2671084.0,1138996.84,1812455.01,3344542.17,Customer,11,2.672271514,Savings,Night,0
CASH_IN,Suiza,283561.25,521187.32,804748.57,0.0,0.0,Self,2,6.045828912,Savings,Afternoon,0
CREDIT,Estados Unidos,917.38,200895.0,201812.38,10122.73,9205.35,Customer,3,8.173810537,Savings,Night,0
CASH_IN,Republica Dominicana,420269.82,2258923.35,2679193.17,0.0,0.0,Self,5,7.888526528,Current,Morning,0
CASH_OUT,Guinea,309043.71,897526.0,588482.29,0.0,0.0,Self,15,7.436402875,Savings,Morning,0
CASH_IN,Austria,137964.43,7067180.95,7205145.38,0.0,0.0,Self,12,4.317514749,Savings,Afternoon,0
PAYMENT,Reino Unido,4411.9,10441.0,6029.1,1582106.0,1586517.9,Merchant,10,4.035526672,Savings,Night,0
TRANSFER,El Salvador,91099.24,471978.0,380878.76,99457.04,190556.28,Customer,1,6.060078802,Savings,Night,0
CASH_OUT,Austria,126928.94,1423917.0,1296988.06,0.0,0.0,Self,17,5.055635565,Savings,Morning,0
PAYMENT,Corea del Sur,19591.87,149591.0,129999.13,977045.0,996636.87,Merchant,2,0.741471759,Savings,Morning,0
PAYMENT,Tailandia,7531.23,10906.0,3374.77,1543405.0,1550936.23,Merchant,16,0.154920537,Savings,Afternoon,0
PAYMENT,Francia,20551.28,22817.0,2265.72,1926847.0,1947398.28,Merchant,11,4.186204835,Savings,Morning,0
PAYMENT,Turquia,45047.16,141092.19,96045.03,843755.0,888802.16,Merchant,9,5.67520698,Savings,Afternoon,0
CASH_OUT,Alemania,123372.55,1243224.0,1119851.45,0.0,0.0,Self,20,3.357615513,Savings,Night,0
CASH_IN,Brasil,696979.11,1794804.46,2491783.57,0.0,0.0,Self,20,3.438066513,Savings,Morning,0
TRANSFER,Honduras,199873.41,1111388.0,911514.59,5954556.4,6154429.81,Customer,14,1.816785059,Savings,Night,0
CASH_IN,Filipinas,104605.78,4968145.5,5072751.28,0.0,0.0,Self,16,7.455352593,Current,Afternoon,0
CASH_OUT,Mexico,110520.75,0.0,0.0,330085.6,617488.4,Self,5,5.388291038,Savings,Night,1
CASH_IN,Estados Unidos,66285.09,7833597.47,7899882.56,0.0,0.0,Self,13,5.294975753,Savings,Morning,0
PAYMENT,Francia,6128.41,91737.45,85609.04,1380922.0,1387050.41,Merchant,15,3.949379952,Savings,Afternoon,0
PAYMENT,Alemania,1252.27,31919.0,30666.73,1850595.0,1851847.27,Merchant,7,1.166604375,Current,Morning,0
PAYMENT,Turquia,12605.06,1796570.34,1783965.28,158272.0,170877.06,Merchant,1,7.33805816,Savings,Morning,0
PAYMENT,Bolivia,11856.98,156795.0,144938.02,1161792.0,1173648.98,Merchant,1,0.920920961,Savings,Morning,0
CASH_OUT,Indonesia,367180.86,1376719.0,1009538.14,0.0,0.0,Self,1,1.641809527,Savings,Night,0
PAYMENT,Francia,4946.03,54813.86,49867.83,1790128.0,1795074.03,Merchant,18,0.487261154,Current,Night,0
PAYMENT,Mexico,1507.32,22377.0,20869.68,1764271.0,1765778.32,Merchant,7,2.379369631,Current,Morning,0
PAYMENT,Republica Dominicana,28409.89,1296837.0,1268427.11,1653653.0,1682062.89,Merchant,6,0.739253082,Savings,Afternoon,0
PAYMENT,Republica Dominicana,5277.76,20940.0,15662.24,526790.0,532067.76,Merchant,8,3.871599319,Current,Morning,0
CASH_IN,Estados Unidos,169408.46,7711602.42,7881010.88,0.0,0.0,Self,17,2.873818915,Savings,Night,0
CASH_IN,Italia,176370.68,485623.33,661994.01,0.0,0.0,Self,2,5.373308554,Current,Afternoon,0
PAYMENT,India,8364.73,1765859.0,1757494.27,1151078.0,1159442.73,Merchant,17,4.510377314,Savings,Morning,0
PAYMENT,China,5923.01,6057.0,133.99,806448.0,812371.01,Merchant,17,0.451994013,Savings,Night,0
CASH_IN,Italia,96015.94,360819.0,456834.94,0.0,0.0,Self,7,5.795581599,Savings,Afternoon,0
CASH_IN,Estados Unidos,168846.2,2364949.86,2533796.06,0.0,0.0,Self,8,8.341421295,Savings,Morning,0
CASH_IN,Estados Unidos,157949.14,1994656.51,2152605.65,0.0,0.0,Self,6,3.508288706,Savings,Morning,0
PAYMENT,Turquia,7632.13,31257.0,23634.87,0.0,0.0,Merchant,16,0.2216262395,Savings,Morning,1
PAYMENT,Rusia,822.37,19826.0,19003.63,657957.0,658779.37,Merchant,5,7.622185999,Savings,Night,0
PAYMENT,Polonia,5810.4,33854.0,28043.6,277066.0,282876.4,Merchant,16,1.939352354,Current,Afternoon,0
PAYMENT,Mexico,12091.12,491429.54,479338.42,103035.0,115126.12,Merchant,6,4.083682886,Current,Night,0
PAYMENT,Noruega,2908.53,11628.0,8719.47,1914642.0,1917550.53,Merchant,19,4.278011431,Savings,Morning,0
PAYMENT,India,22178.82,40962.0,18783.18,1008797.0,1030975.82,Merchant,13,5.194794229,Savings,Night,0
CREDIT,El Salvador,285.71,551.0,836.71,2150.0,1864.29,Customer,7,2.297404138,Savings,Night,0
PAYMENT,Singapur,738.07,9607.02,8868.95,1315767.0,1316505.07,Merchant,18,4.150246445,Savings,Morning,0
PAYMENT,Iran,12999.97,13390.0,390.03,731200.0,744199.97,Merchant,12,3.593667022,Current,Afternoon,0
TRANSFER,India,18554.73,19177.0,622.27,0.0,18554.73,Customer,7,8.024813728,Savings,Afternoon,0
PAYMENT,Mexico,12280.47,20018.0,7737.53,1762402.0,1774682.47,Merchant,19,1.496972344,Current,Night,0
CREDIT,Australia,930.99,18354.65,19285.64,17230.8,16299.81,Customer,1,6.070969181,Savings,Afternoon,0
CASH_IN,Republica Dominicana,21954.96,3468169.21,3490124.17,0.0,0.0,Self,7,0.481938117,Current,Morning,0
CASH_OUT,Guatemala,106267.21,980398.0,874130.79,0.0,0.0,Self,12,8.457973583,Current,Afternoon,0
PAYMENT,Brasil,1500.44,29053.0,27552.56,1936049.0,1937549.44,Merchant,20,5.080615767,Savings,Morning,0
PAYMENT,Francia,25389.14,1786215.0,1760825.86,1534981.0,1560370.14,Merchant,6,8.210145774,Current,Night,0
CASH_IN,Estados Unidos,35217.29,5508065.35,5543282.64,0.0,0.0,Self,9,0.471894071,Current,Afternoon,0
PAYMENT,India,5446.88,8846.0,3399.12,526706.0,532152.88,Merchant,17,4.732495484,Savings,Afternoon,0
PAYMENT,Alemania,13268.13,82786.0,69517.87,1230606.0,1243874.13,Merchant,9,1.631935148,Current,Night,0
PAYMENT,Francia,9491.89,12769.0,3277.11,177676.0,187167.89,Merchant,2,4.911171409,Savings,Morning,0
CASH_IN,Australia,99040.28,357232.13,456272.41,0.0,0.0,Self,18,7.8064082,Current,Night,0
PAYMENT,Peru,16918.31,1316166.0,1299247.69,1840747.0,1857665.31,Merchant,5,4.988127597,Current,Afternoon,0
CASH_IN,Estados Unidos,22880.85,5811601.8,5834482.65,0.0,0.0,Self,20,3.444400197,Savings,Morning,0
TRANSFER,Australia,378843.29,840446.0,461602.71,6794680.19,7173523.48,Customer,20,2.141069532,Current,Morning,0
PAYMENT,Espana,7265.63,14508.0,7242.37,463303.0,470568.63,Merchant,16,7.886155673,Savings,Afternoon,0
PAYMENT,Chile,7660.39,78716.83,71056.44,1556332.0,1563992.39,Merchant,19,7.832739541,Savings,Night,0
PAYMENT,India,7853.17,0.0,0.0,0.0,0.0,Merchant,9,2.116013587,Savings,Afternoon,1
CASH_IN,Malasia,39336.08,126784.43,166120.51,0.0,0.0,Self,19,1.344918757,Savings,Night,0
PAYMENT,Francia,4632.68,396904.27,392271.59,649617.0,654249.68,Merchant,17,2.318820069,Savings,Night,0
PAYMENT,China,4008.01,105389.0,101380.99,327687.0,331695.01,Merchant,1,0.596412072,Current,Afternoon,0
PAYMENT,El Salvador,10940.74,325453.0,314512.26,443784.0,454724.74,Merchant,13,8.5316457,Current,Afternoon,0
PAYMENT,Australia,8208.25,19808.0,11599.75,1408586.0,1416794.25,Merchant,16,6.674257677,Current,Afternoon,0
PAYMENT,Australia,5078.28,17257.0,12178.72,1528806.0,1533884.28,Merchant,10,6.834800193,Savings,Night,0
CASH_IN,Honduras,494810.97,9960498.29,10500000.0,7473141.22,7434797.81,Self,9,0.2623710332,Savings,Morning,1
PAYMENT,Estados Unidos,4435.37,6052.0,1616.63,1716472.0,1720907.37,Merchant,13,2.203600214,Savings,Night,0
PAYMENT,Estados Unidos,36977.71,740315.0,703337.29,552129.0,589106.71,Merchant,20,6.977562856,Savings,Afternoon,0
PAYMENT,Noruega,3780.15,1748259.3,1744479.15,1015012.0,1018792.15,Merchant,15,5.082673964,Savings,Afternoon,0
CASH_IN,Espana,221099.31,8198898.24,8419997.55,7694240.53,7473141.22,Self,20,7.265553185,Savings,Afternoon,1
CASH_IN,Vietnam,246059.61,1108459.04,1354518.65,0.0,0.0,Self,9,0.723425682,Savings,Night,0
CASH_OUT,Australia,195490.04,205603.0,10112.96,0.0,0.0,Self,10,7.801758535,Savings,Afternoon,0
PAYMENT,Indonesia,10105.94,49694.0,39588.06,378150.0,388255.94,Merchant,20,7.546688105,Savings,Afternoon,0
CASH_OUT,China,31678.91,53623.17,21944.26,0.0,0.0,Self,9,5.899916722,Savings,Night,0
CASH_IN,Estados Unidos,115572.56,7955565.29,8071137.85,0.0,0.0,Self,19,3.599171141,Savings,Afternoon,0
CASH_OUT,SudAfrica,109247.89,857754.0,748506.11,0.0,0.0,Self,17,4.756612401,Savings,Afternoon,0
PAYMENT,SudAfrica,7707.44,99827.0,92129.56,0.0,0.0,Merchant,11,0.1543391908,Savings,Morning,1
CASH_IN,Rumania,51311.41,8037193.29,8088504.7,0.0,0.0,Self,14,4.212111487,Current,Afternoon,0
PAYMENT,Mexico,14213.84,27210.28,12996.44,1591504.0,1605717.84,Merchant,2,0.80349229,Savings,Night,0
CASH_IN,Rusia,274903.54,2096181.29,2371084.83,0.0,0.0,Self,1,2.740691069,Current,Morning,0
PAYMENT,Irak,1969.13,7633.0,5663.87,1589160.0,1591129.13,Merchant,13,4.174350453,Savings,Morning,0
PAYMENT,Bielorrusia,22903.8,342558.0,319654.2,1029775.0,1052678.8,Merchant,3,6.396643486,Current,Morning,0
PAYMENT,China,22256.72,58877.26,36620.54,1002231.0,1024487.72,Merchant,14,3.165071731,Savings,Night,0
PAYMENT,India,1760.56,20132.0,18371.44,851086.0,852846.56,Merchant,16,4.780724873,Savings,Afternoon,0
CASH_OUT,Filipinas,153179.07,162411.79,9232.72,0.0,0.0,Self,10,3.78789208,Savings,Night,0
TRANSFER,Ucrania,138389.21,789412.0,651022.79,0.0,138389.21,Customer,8,0.816541615,Savings,Night,0
PAYMENT,Mexico,3065.51,47381.0,44315.49,238877.0,241942.51,Merchant,19,6.861973084,Current,Morning,0
CASH_IN,Estados Unidos,182452.71,1734821.94,1917274.65,0.0,0.0,Self,10,7.31739054,Current,Afternoon,0
PAYMENT,Argentina,10916.1,21198.0,10281.9,1159147.0,1170063.1,Merchant,20,6.991849948,Savings,Afternoon,0
PAYMENT,Mexico,15983.15,30896.0,14912.85,795452.0,811435.15,Merchant,9,3.240711146,Savings,Night,0
PAYMENT,Estados Unidos,8415.4,86402.24,77986.84,900280.0,908695.4,Merchant,14,7.448851228,Savings,Morning,0
CASH_IN,Nueva Zelanda,71887.0,1646760.35,1718647.35,0.0,0.0,Self,7,0.834561694,Current,Night,0
TRANSFER,Polonia,26768.5,26768.5,0.0,0.0,26768.5,Customer,1,6.687968106,Savings,Afternoon,0
PAYMENT,Estados Unidos,3262.18,4477.0,1214.82,998295.0,1001557.18,Merchant,10,7.506094489,Savings,Afternoon,0
CREDIT,Cuba,1251.24,209439.0,210690.24,18182.93,16931.69,Customer,15,7.2098678,Savings,Night,0
CASH_OUT,Estados Unidos,135550.07,1668234.0,1532683.93,0.0,0.0,Self,7,3.658129836,Savings,Morning,0
PAYMENT,Italia,619.24,31960.0,31340.76,1214810.0,1215429.24,Merchant,18,3.336087745,Savings,Afternoon,0
CASH_OUT,India,133988.46,369832.0,235843.54,0.0,0.0,Self,16,8.765431528,Savings,Night,0
CASH_IN,Australia,250891.95,1047404.03,1298295.98,0.0,0.0,Self,4,3.684847978,Current,Afternoon,0
PAYMENT,Italia,18389.77,631095.0,612705.23,1345599.0,1363988.77,Merchant,12,4.465352515,Savings,Morning,0
TRANSFER,Australia,264361.19,1080593.86,816232.67,1277212.77,1541573.96,Customer,6,0.933158235,Current,Morning,0
PAYMENT,Turquia,11621.62,66392.0,54770.38,1301799.0,1313420.62,Merchant,20,4.250053656,Savings,Afternoon,0
PAYMENT,Banglades,893.57,10676.0,9782.43,1637864.0,1638757.57,Merchant,18,3.180294642,Savings,Morning,0
CASH_IN,Irak,67017.13,3942544.19,4009561.32,0.0,0.0,Self,19,5.583699946,Current,Night,0
CASH_IN,Francia,130580.16,2284420.42,2415000.58,0.0,0.0,Self,20,3.896534586,Savings,Afternoon,0
PAYMENT,Indonesia,12691.84,17800.0,5108.16,263942.0,276633.84,Merchant,14,5.821497021,Savings,Night,0
PAYMENT,Indonesia,1445.37,5064.0,3618.63,1336519.0,1337964.37,Merchant,9,7.111275157,Current,Afternoon,0
CASH_OUT,Alemania,472609.82,995327.0,522717.18,0.0,0.0,Self,3,5.130230793,Savings,Afternoon,0
PAYMENT,Mexico,9352.62,20588.0,11235.38,668340.0,677692.62,Merchant,1,6.299994041,Current,Night,0
